 Time Control                                                Count 
[Event "Rated Classical game"] [TimeControl "360+3"]         5290
[Event "Rated Classical game"] [TimeControl "360+4"]         2063
[Event "Rated Classical game"] [TimeControl "360+5"]         3847
[Event "Rated Classical game"] [TimeControl "360+6"]         3767
[Event "Rated Classical game"] [TimeControl "360+7"]         957
[Event "Rated Classical game"] [TimeControl "360+8"]         2618
[Event "Rated Classical game"] [TimeControl "360+9"]         736
[Event "Rated Classical game"] [TimeControl "360+10"]        1041
[Event "Rated Classical game"] [TimeControl "360+11"]        4
[Event "Rated Classical game"] [TimeControl "360+12"]        546
[Event "Rated Classical game"] [TimeControl "360+13"]        34
[Event "Rated Classical game"] [TimeControl "360+14"]        7
[Event "Rated Classical game"] [TimeControl "360+15"]        296
[Event "Rated Classical game"] [TimeControl "360+16"]        7
[Event "Rated Classical game"] [TimeControl "360+17"]        5
[Event "Rated Classical game"] [TimeControl "360+19"]        2
[Event "Rated Classical game"] [TimeControl "360+20"]        237
[Event "Rated Classical game"] [TimeControl "360+30"]        7
[Event "Rated Classical game"] [TimeControl "360+60"]        1
[Event "Rated Classical game"] [TimeControl "360+90"]        2
[Event "Rated Classical game"] [TimeControl "360+180"]       5
[Event "Rated Blitz game"] [TimeControl "420+0"]             67602
[Event "Rated Blitz tournament"] [TimeControl "420+0"]       2299
[Event "Rated Blitz game"] [TimeControl "420+1"]             8691
[Event "Rated Blitz tournament"] [TimeControl "420+1"]       119
[Event "Rated Classical game"] [TimeControl "420+2"]         5921
[Event "Rated Classical tournament"] [TimeControl "420+2"]   4801
[Event "Rated Classical game"] [TimeControl "420+3"]         7764
[Event "Rated Classical game"] [TimeControl "420+4"]         1896
[Event "Rated Classical game"] [TimeControl "420+5"]         7206
[Event "Rated Classical tournament"] [TimeControl "420+5"]   6
[Event "Rated Classical game"] [TimeControl "420+6"]         335
[Event "Rated Classical game"] [TimeControl "420+7"]         5932
[Event "Rated Classical game"] [TimeControl "420+8"]         2825
[Event "Rated Classical game"] [TimeControl "420+9"]         700
[Event "Rated Classical game"] [TimeControl "420+10"]        1692
[Event "Rated Classical tournament"] [TimeControl "420+10"]  5
[Event "Rated Classical game"] [TimeControl "420+11"]        15
[Event "Rated Classical game"] [TimeControl "420+12"]        208
[Event "Rated Classical game"] [TimeControl "420+13"]        6
[Event "Rated Classical game"] [TimeControl "420+14"]        168
[Event "Rated Classical game"] [TimeControl "420+15"]        686
[Event "Rated Classical game"] [TimeControl "420+16"]        2
[Event "Rated Classical game"] [TimeControl "420+17"]        12
[Event "Rated Classical game"] [TimeControl "420+18"]        20
[Event "Rated Classical game"] [TimeControl "420+19"]        1
[Event "Rated Classical game"] [TimeControl "420+20"]        225
[Event "Rated Classical game"] [TimeControl "420+25"]        47
[Event "Rated Classical game"] [TimeControl "420+30"]        82
[Event "Rated Classical game"] [TimeControl "420+35"]        1
[Event "Rated Classical game"] [TimeControl "420+90"]        11
[Event "Rated Classical game"] [TimeControl "420+150"]       1
[Event "Rated Classical game"] [TimeControl "420+180"]       15
[Event "Rated Classical game"] [TimeControl "480+0"]         104592
[Event "Rated Classical game"] [TimeControl "480+1"]         2440
[Event "Rated Classical game"] [TimeControl "480+2"]         5349
[Event "Rated Classical game"] [TimeControl "480+3"]         4424
[Event "Rated Classical game"] [TimeControl "480+4"]         1700
[Event "Rated Classical game"] [TimeControl "480+5"]         8685
[Event "Rated Classical game"] [TimeControl "480+6"]         784
[Event "Rated Classical game"] [TimeControl "480+7"]         2244
[Event "Rated Classical game"] [TimeControl "480+8"]         7833
[Event "Rated Classical game"] [TimeControl "480+9"]         370
[Event "Rated Classical game"] [TimeControl "480+10"]        2174
[Event "Rated Classical game"] [TimeControl "480+11"]        343
[Event "Rated Classical game"] [TimeControl "480+12"]        24
[Event "Rated Classical game"] [TimeControl "480+13"]        231
[Event "Rated Classical game"] [TimeControl "480+14"]        4
[Event "Rated Classical game"] [TimeControl "480+15"]        599
[Event "Rated Classical game"] [TimeControl "480+16"]        167
[Event "Rated Classical game"] [TimeControl "480+17"]        4
[Event "Rated Classical game"] [TimeControl "480+18"]        1
[Event "Rated Classical game"] [TimeControl "480+20"]        70
[Event "Rated Classical game"] [TimeControl "480+25"]        134
[Event "Rated Classical game"] [TimeControl "480+30"]        135
[Event "Rated Classical game"] [TimeControl "480+35"]        1
[Event "Rated Classical game"] [TimeControl "480+40"]        118
[Event "Rated Classical game"] [TimeControl "480+45"]        39
[Event "Rated Classical game"] [TimeControl "480+60"]        1
[Event "Rated Classical game"] [TimeControl "480+180"]       3
[Event "Rated Classical game"] [TimeControl "540+0"]         13171
[Event "Rated Classical game"] [TimeControl "540+1"]         805
[Event "Rated Classical game"] [TimeControl "540+2"]         1401
[Event "Rated Classical game"] [TimeControl "540+3"]         1229
[Event "Rated Classical game"] [TimeControl "540+4"]         315
[Event "Rated Classical game"] [TimeControl "540+5"]         2241
[Event "Rated Classical game"] [TimeControl "540+6"]         444
[Event "Rated Classical game"] [TimeControl "540+7"]         331
[Event "Rated Classical game"] [TimeControl "540+8"]         1185
[Event "Rated Classical game"] [TimeControl "540+9"]         1107
[Event "Rated Classical game"] [TimeControl "540+10"]        419
[Event "Rated Classical game"] [TimeControl "540+11"]        358
[Event "Rated Classical game"] [TimeControl "540+12"]        156
[Event "Rated Classical game"] [TimeControl "540+13"]        34
[Event "Rated Classical game"] [TimeControl "540+14"]        75
[Event "Rated Classical game"] [TimeControl "540+15"]        170
[Event "Rated Classical game"] [TimeControl "540+17"]        3
[Event "Rated Classical game"] [TimeControl "540+18"]        8
[Event "Rated Classical game"] [TimeControl "540+19"]        71
[Event "Rated Classical game"] [TimeControl "540+20"]        118
[Event "Rated Classical game"] [TimeControl "540+25"]        46
[Event "Rated Classical game"] [TimeControl "540+30"]        5
[Event "Rated Classical game"] [TimeControl "540+35"]        48
[Event "Rated Classical game"] [TimeControl "540+40"]        80
[Event "Rated Classical game"] [TimeControl "540+45"]        35
[Event "Rated Classical game"] [TimeControl "540+90"]        1
[Event "Rated Classical game"] [TimeControl "540+150"]       1
[Event "Rated Classical game"] [TimeControl "600+0"]         1254395
[Event "Rated Classical tournament"] [TimeControl "600+0"]   282790
[Event "Rated Classical game"] [TimeControl "600+1"]         13039
[Event "Rated Classical game"] [TimeControl "600+2"]         17682
[Event "Rated Classical tournament"] [TimeControl "600+2"]   2
[Event "Rated Classical game"] [TimeControl "600+3"]         18496
[Event "Rated Classical game"] [TimeControl "600+4"]         3958
[Event "Rated Classical game"] [TimeControl "600+5"]         51418
[Event "Rated Classical tournament"] [TimeControl "600+5"]   82
[Event "Rated Classical game"] [TimeControl "600+6"]         4079
[Event "Rated Classical game"] [TimeControl "600+7"]         4466
[Event "Rated Classical game"] [TimeControl "600+8"]         10807
[Event "Rated Classical game"] [TimeControl "600+9"]         959
[Event "Rated Classical game"] [TimeControl "600+10"]        34218
[Event "Rated Classical game"] [TimeControl "600+11"]        374
[Event "Rated Classical game"] [TimeControl "600+12"]        595
[Event "Rated Classical game"] [TimeControl "600+13"]        304
[Event "Rated Classical game"] [TimeControl "600+14"]        87
[Event "Rated Classical game"] [TimeControl "600+15"]        6427
[Event "Rated Classical game"] [TimeControl "600+16"]        4
[Event "Rated Classical game"] [TimeControl "600+18"]        8
[Event "Rated Classical game"] [TimeControl "600+19"]        2
[Event "Rated Classical game"] [TimeControl "600+20"]        1013
[Event "Rated Classical game"] [TimeControl "600+25"]        104
[Event "Rated Classical game"] [TimeControl "600+30"]        892
[Event "Rated Classical tournament"] [TimeControl "600+30"]  1
[Event "Rated Classical game"] [TimeControl "600+35"]        7
[Event "Rated Classical game"] [TimeControl "600+40"]        13
[Event "Rated Classical game"] [TimeControl "600+45"]        70
[Event "Rated Classical game"] [TimeControl "600+60"]        72
[Event "Rated Classical game"] [TimeControl "600+90"]        25
[Event "Rated Classical game"] [TimeControl "600+120"]       17
[Event "Rated Classical game"] [TimeControl "600+150"]       18
[Event "Rated Classical game"] [TimeControl "600+180"]       117
[Event "Rated Classical game"] [TimeControl "660+0"]         3442
[Event "Rated Classical game"] [TimeControl "660+1"]         195
[Event "Rated Classical game"] [TimeControl "660+2"]         241
[Event "Rated Classical game"] [TimeControl "660+3"]         327
[Event "Rated Classical game"] [TimeControl "660+4"]         431
[Event "Rated Classical game"] [TimeControl "660+5"]         484
[Event "Rated Classical game"] [TimeControl "660+6"]         91
[Event "Rated Classical game"] [TimeControl "660+7"]         157
[Event "Rated Classical game"] [TimeControl "660+8"]         171
[Event "Rated Classical game"] [TimeControl "660+9"]         100
[Event "Rated Classical game"] [TimeControl "660+10"]        260
[Event "Rated Classical game"] [TimeControl "660+11"]        607
[Event "Rated Classical game"] [TimeControl "660+12"]        80
[Event "Rated Classical game"] [TimeControl "660+13"]        47
[Event "Rated Classical game"] [TimeControl "660+14"]        14
[Event "Rated Classical game"] [TimeControl "660+15"]        20
[Event "Rated Classical game"] [TimeControl "660+16"]        2
[Event "Rated Classical game"] [TimeControl "660+18"]        27
[Event "Rated Classical game"] [TimeControl "660+20"]        8
[Event "Rated Classical game"] [TimeControl "660+30"]        2
[Event "Rated Classical game"] [TimeControl "660+35"]        1
[Event "Rated Classical game"] [TimeControl "660+180"]       2
[Event "Rated Classical game"] [TimeControl "720+0"]         13706
[Event "Rated Classical game"] [TimeControl "720+1"]         596
[Event "Rated Classical game"] [TimeControl "720+2"]         972
[Event "Rated Classical game"] [TimeControl "720+3"]         1733
[Event "Rated Classical game"] [TimeControl "720+4"]         548
[Event "Rated Classical game"] [TimeControl "720+5"]         2350
[Event "Rated Classical game"] [TimeControl "720+6"]         447
[Event "Rated Classical game"] [TimeControl "720+7"]         135
[Event "Rated Classical game"] [TimeControl "720+8"]         1692
[Event "Rated Classical game"] [TimeControl "720+9"]         13
[Event "Rated Classical game"] [TimeControl "720+10"]        2207
[Event "Rated Classical game"] [TimeControl "720+11"]        183
[Event "Rated Classical game"] [TimeControl "720+12"]        974
[Event "Rated Classical game"] [TimeControl "720+13"]        36
[Event "Rated Classical game"] [TimeControl "720+14"]        31
[Event "Rated Classical game"] [TimeControl "720+15"]        501
